city,links,img,img_local,slug
上海,https://you.ctrip.com/place/shanghai2.html,https://youimg1.c-ctrip.com/target/100e0h0000008rp39A12F_C_1180_462.jpg,100e0h0000008rp39A12F_C_1180_462.jpg,shang-hai
北京,https://you.ctrip.com/place/beijing1.html,https://youimg1.c-ctrip.com/target/100a0g00000087qb8E7CE_C_1180_462.jpg,100a0g00000087qb8E7CE_C_1180_462.jpg,bei-jing
天津,https://you.ctrip.com/place/tianjin154.html,https://youimg1.c-ctrip.com/target/100n1c000001d5zaf9BCE_C_1180_462.jpg,100n1c000001d5zaf9BCE_C_1180_462.jpg,tian-jin
重庆,https://you.ctrip.com/place/chongqing158.html,https://youimg1.c-ctrip.com/target/100u1c000001dbc8s0A2E_C_1180_462.jpg,100u1c000001dbc8s0A2E_C_1180_462.jpg,zhong-qing
香港,https://you.ctrip.com/place/hongkong38.html,https://youimg1.c-ctrip.com/target/0101k12000admkld4652D_C_1180_462.jpg,0101k12000admkld4652D_C_1180_462.jpg,xiang-gang
澳门,https://you.ctrip.com/place/macau39.html,https://youimg1.c-ctrip.com/target/100a0y000000m6k1lB326_C_1180_462.jpg,100a0y000000m6k1lB326_C_1180_462.jpg,ao-men
台北,https://you.ctrip.com/place/taipei360.html,https://youimg1.c-ctrip.com/target/100o0h000000907edD905_C_1180_462.jpg,100o0h000000907edD905_C_1180_462.jpg,tai-bei
高雄,https://you.ctrip.com/place/kaohsiung756.html,https://youimg1.c-ctrip.com/target/0100k120008c26tb5F9AE_C_1180_462.jpg,0100k120008c26tb5F9AE_C_1180_462.jpg,gao-xiong
台中,https://you.ctrip.com/place/taichung1369.html,https://youimg1.c-ctrip.com/target/fd/tg/g3/M00/A1/CC/CggYGlZ5BBSAIehLAAq_M0SAvjo078_C_1180_462.jpg,CggYGlZ5BBSAIehLAAq_M0SAvjo078_C_1180_462.jpg,tai-zhong
新北,https://you.ctrip.com/place/newtaipeicity2063.html,https://youimg1.c-ctrip.com/target/100n160000010omgrB847_C_1180_462.jpg,100n160000010omgrB847_C_1180_462.jpg,xin-bei
屏东,https://you.ctrip.com/place/pingtung1364.html,https://youimg1.c-ctrip.com/target/01037120009eh6s9y246E_C_1180_462.jpg,01037120009eh6s9y246E_C_1180_462.jpg,ping-dong
花莲,https://you.ctrip.com/place/hualien1366.html,https://youimg1.c-ctrip.com/target/0100w12000ard19qd8D57_C_1180_462.jpg,0100w12000ard19qd8D57_C_1180_462.jpg,hua-lian
桃园,https://you.ctrip.com/place/taoyuan1439.html,https://youimg1.c-ctrip.com/target/100t0x000000l5oh85C25_C_1180_462.jpg,100t0x000000l5oh85C25_C_1180_462.jpg,tao-yuan
台南,https://you.ctrip.com/place/tainan757.html,https://youimg1.c-ctrip.com/target/0104712000ard145m6EDE_C_1180_462.jpg,0104712000ard145m6EDE_C_1180_462.jpg,tai-nan
宜兰,https://you.ctrip.com/place/yilan1383.html,https://dimg04.c-ctrip.com/images/0100e120009eh6jdnEC02_C_1180_462.jpg,0100e120009eh6jdnEC02_C_1180_462.jpg,yi-lan
南投,https://you.ctrip.com/place/nantou759.html,https://youimg1.c-ctrip.com/target/100j0g00000088aec4E60_C_1180_462.jpg,100j0g00000088aec4E60_C_1180_462.jpg,nan-tou
台东,https://you.ctrip.com/place/taitung760.html,https://youimg1.c-ctrip.com/target/100a0p000000fh6hr2E1A_C_1180_462.jpg,100a0p000000fh6hr2E1A_C_1180_462.jpg,tai-dong
澎湖,https://you.ctrip.com/place/penghu1367.html,https://youimg1.c-ctrip.com/target/0100r1200086ygt7lE613_C_1180_462.jpg,0100r1200086ygt7lE613_C_1180_462.jpg,peng-hu
嘉义市,https://you.ctrip.com/place/chiayicity758.html,https://youimg1.c-ctrip.com/target/100r0p000000fmw4xA9C2_C_1180_462.jpg,100r0p000000fmw4xA9C2_C_1180_462.jpg,jia-yi-shi
嘉义县,https://you.ctrip.com/place/chiayicounty3182.html,https://youimg1.c-ctrip.com/target/0100c120009ehbvo4B715_C_1180_462.jpg,0100c120009ehbvo4B715_C_1180_462.jpg,jia-yi-xian
新竹,https://you.ctrip.com/place/hsinchu1197.html,https://dimg04.c-ctrip.com/images/100m0w000000kffdv4FAB_C_1180_462.jpg,100m0w000000kffdv4FAB_C_1180_462.jpg,xin-zhu
新竹县,https://you.ctrip.com/place/hsinchucounty3198.html,https://youimg1.c-ctrip.com/target/0102w120009ehbokp42FF_C_1180_462.jpg,0102w120009ehbokp42FF_C_1180_462.jpg,xin-zhu-xian
基隆,https://you.ctrip.com/place/jilong1382.html,https://youimg1.c-ctrip.com/target/010061200085ojssx77F1_C_1180_462.jpg,010061200085ojssx77F1_C_1180_462.jpg,ji-long
苗栗,https://you.ctrip.com/place/miaoli3199.html,https://youimg1.c-ctrip.com/target/0105w120006w6k3qk9D3F_C_1180_462.jpg,0105w120006w6k3qk9D3F_C_1180_462.jpg,miao-li
三亚,https://you.ctrip.com/place/sanya61.html,https://youimg1.c-ctrip.com/target/100o1f000001gp6di1DB0_C_1180_462.jpg,100o1f000001gp6di1DB0_C_1180_462.jpg,san-ya
海口,https://you.ctrip.com/place/haikou37.html,https://youimg1.c-ctrip.com/target/100i0y000000m3cmmA627_C_1180_462.jpg,100i0y000000m3cmmA627_C_1180_462.jpg,hai-kou
万宁,https://you.ctrip.com/place/wanning846.html,https://dimg04.c-ctrip.com/images/0102d12000856q37eB347_C_1180_462.jpg,0102d12000856q37eB347_C_1180_462.jpg,mo-zhu
陵水,https://you.ctrip.com/place/lingshui1509.html,https://youimg1.c-ctrip.com/target/0105z1200085njpnfCE3D_C_1180_462.jpg,0105z1200085njpnfCE3D_C_1180_462.jpg,ling-shui
琼海,https://you.ctrip.com/place/qionghai843.html,https://youimg1.c-ctrip.com/target/0102w120009ehd6v04C42_C_1180_462.jpg,0102w120009ehd6v04C42_C_1180_462.jpg,qiong-hai
文昌,https://you.ctrip.com/place/wenchang1007.html,https://youimg1.c-ctrip.com/target/10070p000000gd56i053B_C_1180_462.jpg,10070p000000gd56i053B_C_1180_462.jpg,wen-chang
儋州,https://you.ctrip.com/place/danzhou841.html,https://youimg1.c-ctrip.com/target/100w0w000000kbvw54F42_C_1180_462.jpg,100w0w000000kbvw54F42_C_1180_462.jpg,dan-zhou
澄迈,https://you.ctrip.com/place/chengmai2457.html,https://youimg1.c-ctrip.com/target/1A0v15000000xmuv282EF_C_1180_462.jpg,1A0v15000000xmuv282EF_C_1180_462.jpg,cheng-mai
