names,places,links,imgs,desc,address,address_link
田螺,桂林,https://you.ctrip.com/fooditem/guilin28/7761737-p1.html,https://dimg01.c-ctrip.com/images/100o090000004913v3080_R_220_140.jpg,当地特色小吃之一。采用特制的酸辣椒，再放入葱、姜、三花酒等配料将田螺炒熟，口感酸辣鲜美。用牙签挑开田螺的顶盖，撮着嘴... ,椿记烧鹅(中山店),https://you.ctrip.com/food/guilin28/126233.html
船上糕,桂林,https://you.ctrip.com/fooditem/guilin28/21611542-p1.html,https://dimg04.c-ctrip.com/images/0105u12000a03k4fp781F_R_220_140.jpg,船上糕是桂林非常有名的小吃之一，早先是渔家人的传统美食，因需要在江上捕鱼，而船上糕因为便于储存和携带，口感香糯，慢慢... ,,
艾叶粑,桂林,https://you.ctrip.com/fooditem/guilin28/20791608-p1.html,https://dimg04.c-ctrip.com/images/0106412000a03mn6a37B9_R_220_140.jpg,艾叶粑是桂林的传统小吃，也是当地清明时节的特色小吃。把新鲜艾叶与糯米粉揉合，再加入花生、红豆、白糖等馅，做好后用棕子... ,,
田螺酿,桂林,https://you.ctrip.com/fooditem/guilin28/61588-p1.html,https://dimg04.c-ctrip.com/images/tg/942/441/010/737ec1b0fbb94496bf4354f4a5db4257_R_220_140.jpg,田螺酿是地道的阳朔风味菜，制作前要选超大个的田螺，烹制时要加入姜末、鲜薄荷和三花酒，所以做好后味道十分鲜香，入口的田... ,,
烧鹅,桂林,https://you.ctrip.com/fooditem/guilin28/7756087-p1.html,https://dimg04.c-ctrip.com/images/0106g12000a03rxkw4BF7_R_220_140.jpg,烧鹅本是粤菜中的一道传统名菜，在桂林人民的不懈努力之下发扬光大，成为了桂林的名菜，以皮脆肉嫩、鲜美不腻而闻名。选取优... ,,
糖水,桂林,https://you.ctrip.com/fooditem/guilin28/7792104-p1.html,https://dimg04.c-ctrip.com/images/100w0h0000008ts8xB8E4_R_220_140.jpg,糖水已成为南方人饮食习惯之一，有温补清润之配搭，夏日喝一碗糖水，不仅降温去暑，还能滋补养生。桂林糖水与当地人的童年记... ,,
田螺鸭脚煲,桂林,https://you.ctrip.com/fooditem/guilin28/15720056-p1.html,https://dimg04.c-ctrip.com/images/0100612000a03w5ym43A2_R_220_140.jpg,田螺鸭脚煲是一道广西风味名菜，在南宁、柳州、桂林地比较常见。看名字便知主要食材是“田螺”和“鸭脚”，这样的一道亲民家... ,,
柠檬鸭,南宁,https://you.ctrip.com/fooditem/nanning166/42942-p1.html,https://dimg04.c-ctrip.com/images/100e0h0000008tr9wA2D3_R_220_140.jpg,老南宁人颇为喜爱的一道菜。柠檬鸭分为白切和爆炒，其中爆炒深受食客欢迎；制作时加入酸嘢、酸荞头、腌制的酸柠檬等，独特的... ,王氏高峰柠檬鸭(古城店),https://you.ctrip.com/food/nanning166/16586196.html
牛杂,南宁,https://you.ctrip.com/fooditem/nanning166/7769914-p1.html,https://dimg04.c-ctrip.com/images/100f0h0000008tq7c3C6B_R_220_140.jpg,南宁有名的市井小吃。将牛内脏与萝卜、腐竹等一起煮熟，再烫份粉和青菜，配以卤汁上碗即可。制成后的牛杂味道醇厚，口感香滑... ,中山路美食街,https://you.ctrip.com/food/nanning166/294251.html
螺蛳鸭脚煲,南宁,https://you.ctrip.com/fooditem/nanning166/7938725-p1.html,https://dimg04.c-ctrip.com/images/100h0h0000008uetl6E42_R_220_140.jpg,螺蛳鸭脚煲是南宁本地居民喜爱的家常菜肴。选用鸭脚、酸笋、辣椒、紫苏等食材一起煲煮而成，酸辣过瘾，非常开胃。 ,桂小厨广西菜(万象城店),https://you.ctrip.com/food/nanning166/5451243.html
粉饺,南宁,https://you.ctrip.com/fooditem/nanning166/7756118-p1.html,https://dimg04.c-ctrip.com/images/100d0h0000008tpuj2839_R_220_140.jpg,粉饺是南宁的传统特色小吃之一。将糯米粉蒸熟作为饺皮，然后包上肉馅蒸熟，再配上蘸酱、醋等调料食用，馅心除猪肉碎外，还有... ,中山路美食街,https://you.ctrip.com/food/nanning166/294251.html
酸嘢,南宁,https://you.ctrip.com/fooditem/nanning166/9764118-p1.html,https://dimg04.c-ctrip.com/images/tg/753/772/994/80676daad25741f68af780a984116f73_R_220_140.jpg,酸嘢，指腌制的瓜果蔬菜。“嘢”是南宁当地白话，是指东西，酸嘢就是酸东西。由于南宁地处南疆，气候湿热，当地人靠吃酸来提... ,中山路美食街,https://you.ctrip.com/food/nanning166/294251.html
老友粉,南宁,https://you.ctrip.com/fooditem/nanning166/34749-p1.html,https://dimg04.c-ctrip.com/images/100u0h0000008tqf8610B_R_220_140.jpg,老友粉是当地特色美食的代表之一，拥有百年历史。采用精制的面条加爆香的蒜末、豆豉、辣椒、酸笋、牛肉末等配料煮成，酸辣咸... ,中山路美食街,https://you.ctrip.com/food/nanning166/294251.html
糍粑,南宁,https://you.ctrip.com/fooditem/nanning166/7764079-p1.html,https://dimg04.c-ctrip.com/images/100l0k000000c6zs4B9FA_R_220_140.jpg,壮族特色传统小吃，南宁产的糍粑口味丰富，有甜、咸、蒸、炸。糯米用水泡一天沥干水分蒸熟，放在石臼里用木槌等工具砸至胶状... ,探鱼(盛天地店),https://you.ctrip.com/food/nanning166/15455179.html
云吞,南宁,https://you.ctrip.com/fooditem/nanning166/7765740-p1.html,https://dimg04.c-ctrip.com/images/10090k000000c9z1382B9_R_220_140.jpg,云吞又叫馄饨，大小刚好一口可以吞下，因皮薄馅足深受食客喜爱。云吞内陷丰富，有虾仁馅、猪肉馅等，出锅的云吞配以高汤，撒... ,快意饺子云吞(水街店),https://you.ctrip.com/food/nanning166/5450066.html
粥品,南宁,https://you.ctrip.com/fooditem/nanning166/7773911-p1.html,https://dimg04.c-ctrip.com/images/tg/701/042/033/027559bd82de413fb43ae0fa424aa948_R_220_140.jpg,粥是当地人喜爱的早餐之一。粥的种类繁多，有瘦肉粥、猪肉粥等，不同种类的粥味道也是各有千秋，其特点香热鲜美，既有助消化... ,,
海鲜,北海,https://you.ctrip.com/fooditem/beihai140/7755929-p1.html,https://dimg04.c-ctrip.com/images/tg/444/177/338/51dc739971024b8da63a33814e53de80_R_220_140.jpg,北海北部湾为中国四大渔场之一。这里盛产海鲜，且海鲜的种类齐全，有石斑鱼、花蟹等应有尽有，而海鲜的制作方法也是各式各样... ,荣世海鲜炒菜,https://you.ctrip.com/food/beihai140/11200200.html
越南卷粉,北海,https://you.ctrip.com/fooditem/beihai140/7756060-p1.html,https://dimg04.c-ctrip.com/images/100n0h0000008ttuq3D5A_R_220_140.jpg,越南卷粉经过当地人改良后更具北海特色。用米和水磨制成米粉放到蒸笼蒸一个小时，出笼后可根据个人的口味放入鸡蛋、香菇、葱... ,侨越世家越南卷粉,https://you.ctrip.com/food/beihai140/454681.html
糖水,北海,https://you.ctrip.com/fooditem/beihai140/7792104-p1.html,https://dimg04.c-ctrip.com/images/100w0h0000008ts8xB8E4_R_220_140.jpg,糖水是北海地区有名的特色风味。糖水在不同季节食用方法也各不相同，夏季有绿豆沙、马蹄爽等，冬天有黑糯米、芝麻糊等。因种... ,有间糖水铺(前进路店),https://you.ctrip.com/food/beihai140/15159503.html
蟹仔粉,北海,https://you.ctrip.com/fooditem/beihai140/9855472-p1.html,https://dimg04.c-ctrip.com/images/100r0h0000008turf3A34_R_220_140.jpg,蟹仔粉是北海侨港风情街上随处可见的美味之一。上桌的蟹仔粉味道鲜美，蟹香浓郁，制作时巧妙中加入西红柿，非常提味。 ,越南特色小吃·越南蟹仔粉,https://you.ctrip.com/food/beihai140/7574196.html
