names,places,ranks,scores,address,links,imgs
CAKADA,张家港,31,5.0,凤凰镇凤凰镇金谷路91号,https://you.ctrip.com/shopping/zhangjiagang203/1683183.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/B4/1E/CghzfVW7TBeAA7aJAAA_9hhr3Vk862_C_220_140.jpg
张家港土特产展销中心,张家港,32,5.0,人民中路体育中心内(游泳馆一楼),https://you.ctrip.com/shopping/zhangjiagang203/1865656.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg
迪卡侬,张家港,33,5.0,暨阳湖百信生活广场一层,https://you.ctrip.com/shopping/zhangjiagang203/2034856.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M08/B4/1D/CghzfVW7TBWAIcNtAAA29xzKGmc176_C_220_140.jpg
同仁堂(永安路),张家港,34,3.9,暨阳西路99-100号,https://you.ctrip.com/shopping/zhangjiagang203/1791898.html,https://dimg04.c-ctrip.com/images/100e170000012cf2s87A5_C_220_140.jpg
吴悦广场,张家港,35,4.8,暨阳湖南二环路与金港大道交汇处,https://you.ctrip.com/shopping/zhangjiagang203/1797193.html,https://dimg04.c-ctrip.com/images/0106z1200090pvtjkD4C7_C_220_140.png
集贸市场(梁丰路),张家港,36,4.1,梁丰路837号(万红二村南),https://you.ctrip.com/shopping/zhangjiagang203/2059105.html,https://dimg06.c-ctrip.com/images/1me5712000adxqiob2772_C_220_140.jpg
万众联华(吾悦广场店),张家港,37,4.0,杨舍镇金港大道338号(吾悦商业广场20幢B1-105),https://you.ctrip.com/shopping/zhangjiagang203/1712379.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg
L OREAL(欧莱雅),张家港,38,4.8,金港镇黄泗浦西路1号,https://you.ctrip.com/shopping/zhangjiagang203/1705549.html,https://dimg04.c-ctrip.com/images/100i180000013o1394E34_C_220_140.jpg
塘市联华超市,张家港,39,5.0,金塘路63号,https://you.ctrip.com/shopping/zhangjiagang203/1813644.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg
la go go,张家港,40,5.0,国泰中路,https://you.ctrip.com/shopping/zhangjiagang203/1687067.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/B4/1E/CghzfVW7TBeAA7aJAAA_9hhr3Vk862_C_220_140.jpg
富太太,张家港,41,5.0,麒麟大街6号金港中央广场(近长江中路),https://you.ctrip.com/shopping/zhangjiagang203/1843013.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/B4/1E/CghzfVW7TBeAA7aJAAA_9hhr3Vk862_C_220_140.jpg
兴旺果业,张家港,42,5.0,文星南路与康新路交叉路口西南侧,https://you.ctrip.com/shopping/zhangjiagang203/1761890.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg
小商品市场(兆丰路),张家港,43,5.0,兆丰路86号,https://you.ctrip.com/shopping/zhangjiagang203/2439563.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg
CC & DD,张家港,44,4.0,杨舍西街142号,https://you.ctrip.com/shopping/zhangjiagang203/1682670.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/B4/1E/CghzfVW7TBeAA7aJAAA_9hhr3Vk862_C_220_140.jpg
吉梗店(吾悦广场店),张家港,45,4.5,南二环路湖吾悦广场内,https://you.ctrip.com/shopping/zhangjiagang203/1791553.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg
万达购物广场,太仓,1,4.3,太仓市上海东路188号,https://you.ctrip.com/shopping/taicang255/1455283.html,https://dimg03.c-ctrip.com/images/100b0e00000075nk1653C_C_220_140.jpg
新天地广场,太仓,2,4.4,城厢镇人民南路与向阳西路交叉口北100米,https://you.ctrip.com/shopping/taicang255/2319550.html,https://dimg06.c-ctrip.com/images/10051700000115ggq37C2_C_220_140.jpg
hotwind(太仓万达店),太仓,3,4.7,江苏省太仓市上海东路188号万达广场综合楼1F-A,https://you.ctrip.com/shopping/taicang255/1698979.html,https://dimg04.c-ctrip.com/images/100s170000012gjn23CC8_C_220_140.jpg
大润发(太仓店),太仓,4,4.4,太仓太平南路18号(近太仓电视塔),https://you.ctrip.com/shopping/taicang255/1817567.html,https://dimg04.c-ctrip.com/images/100h170000013aoie9396_C_220_140.png
东盛广场,太仓,5,4.2,上海东路199号,https://you.ctrip.com/shopping/taicang255/2095108.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg
宝岛眼镜(苏州太仓南洋店),太仓,6,4.5,苏州太仓 人民路南路19号南洋广场,https://you.ctrip.com/shopping/taicang255/1367321.html,https://dimg05.c-ctrip.com/images/fd/tg/g1/M09/10/42/CghzfVSsx2CAH_FeAAEY-PIUGno039_C_220_140.jpg
华联超市(新城广场店),太仓,7,5.0,人民北路24号,https://you.ctrip.com/shopping/taicang255/1778842.html,https://dimg04.c-ctrip.com/images/100218000001457q3FEC3_C_220_140.jpg
电站村生态园,太仓,8,4.5,谊民路与电站中心路交口旁,https://you.ctrip.com/shopping/taicang255/1958980.html,https://dimg04.c-ctrip.com/images/100v0q000000gwgg83A44_C_220_140.jpg
NIKE(上海路换季优惠店),太仓,9,4.2,太仓市上海东路188号万达广场2楼2035号店铺,https://you.ctrip.com/shopping/taicang255/1999946.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M08/B4/1D/CghzfVW7TBWAIcNtAAA29xzKGmc176_C_220_140.jpg
来伊份(城厢镇县府街店),太仓,10,4.4,城厢镇人民南路124号、县府街东侧第5间,https://you.ctrip.com/shopping/taicang255/16198114.html,https://dimg04.c-ctrip.com/images/100r0k000000cgoti8F4D_C_220_140.jpg
来伊份(长埭路店),太仓,11,4.9,城厢镇长埭路148号,https://you.ctrip.com/shopping/taicang255/8640276.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M0B/B4/1E/CghzfVW7TBaAN__3AAA-SNUIFfg035_C_220_140.jpg
华旭广场,太仓,12,4.3,人民南路14-1号华旭广场,https://you.ctrip.com/shopping/taicang255/2094183.html,https://dimg04.c-ctrip.com/images/1me4d12000ar0x25f3906_C_220_140.jpg
DAPHNE(太仓大润发店),太仓,13,4.0,太平南路19号,https://you.ctrip.com/shopping/taicang255/2026939.html,https://dimg04.c-ctrip.com/images/100v180000013zk4m5A09_C_220_140.jpg
永辉,太仓,14,4.3,太仓县府东街90号万达广场,https://you.ctrip.com/shopping/taicang255/2566951.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg
GXG(太仓万达店),太仓,15,4.3,上海东路188号太仓万达广场1楼,https://you.ctrip.com/shopping/taicang255/1700602.html,https://dimg04.c-ctrip.com/images/100a180000013xkdh26AD_C_220_140.jpg
