names,places,links,imgs,scores,address,ranks
鹰潭副食百货干果市场,鹰潭,https://you.ctrip.com/shopping/yingtan186/2096748.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,4.5,南站路24号-b座-2,8
南昌瓦罐煨汤,鹰潭,https://you.ctrip.com/shopping/yingtan186/1776518.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,4.8,果喜大道中国电信旁,9
健康大药房,鹰潭,https://you.ctrip.com/shopping/yingtan186/1755893.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M0B/B4/1E/CghzfVW7TBaAN__3AAA-SNUIFfg035_C_220_140.jpg,5.0,南站路6号,10
纽约纽约,鹰潭,https://you.ctrip.com/shopping/yingtan186/1982023.html,https://dimg04.c-ctrip.com/images/100j1600000107mp362FF_C_220_140.jpg,5.0,湖宾巷滨江广场二栋D112,11
小玩皮,鹰潭,https://you.ctrip.com/shopping/yingtan186/1851410.html,https://dimg04.c-ctrip.com/images/1005170000012nvzoEB50_C_220_140.jpg,5.0,湖宾巷滨江广场二栋D103,12
千百度楼梯,鹰潭,https://you.ctrip.com/shopping/yingtan186/1773979.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,5.0,鹰潭市余江区安仁大道余江贸易广场,13
好得很文体,鹰潭,https://you.ctrip.com/shopping/guixi1189/1827870.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,5.0,交通路肥牛之家对面,14
鲜丰果园,鹰潭,https://you.ctrip.com/shopping/yingtan186/2068792.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,5.0,白塔西路D85号,15
粮油,鹰潭,https://you.ctrip.com/shopping/yingtan186/1976131.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,5.0,安仁大道贵族窗帘对面,16
老危米店,鹰潭,https://you.ctrip.com/shopping/yingtan186/1995409.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,4.0,邓埠镇白塔西路290号,17
一帘幸福窗帘布艺,鹰潭,https://you.ctrip.com/shopping/yingtan186/1706177.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M07/B3/FD/CghzgFW7TBiAfRNBAAA01L5tAw4655_C_220_140.jpg,4.5,安仁大道贵族窗帘旁,18
和风物语,鹰潭,https://you.ctrip.com/shopping/yingtan186/1799712.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,4.0,胜利巷意尔康对面,19
海达超市,鹰潭,https://you.ctrip.com/shopping/guixi1189/1937490.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,4.8,冶金大道大岩邮政所旁,20
上清宫土特产超市,鹰潭,https://you.ctrip.com/shopping/yingtan186/1719791.html,https://dimg04.c-ctrip.com/images/100q0e0000006ysbhD1DC_C_220_140.jpg,3.0,西湖路2号7号,21
光辉家私,鹰潭,https://you.ctrip.com/shopping/yingtan186/1753107.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M07/B3/FD/CghzgFW7TBiAfRNBAAA01L5tAw4655_C_220_140.jpg,3.0,安仁大道隆胜汽车装潢旁,22
卡洛奇男装,鹰潭,https://you.ctrip.com/shopping/yingtan186/1784922.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/B4/1E/CghzfVW7TBeAA7aJAAA_9hhr3Vk862_C_220_140.jpg,4.0,站江路25号四海财富广场(近华侨饭店),23
向东精品文具,鹰潭,https://you.ctrip.com/shopping/guixi1189/1794687.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,4.0,雄石路xs-104号,24
