names,places,links,imgs,scores,address,ranks
百盛超市,定西,https://you.ctrip.com/shopping/longxi2796/3669787.html,https://dimg04.c-ctrip.com/images/10041700000128nhlCD09_C_220_140.jpg,,甘肃省定西市陇西县景家桥路,31
百盛超市(永定东路),定西,https://you.ctrip.com/shopping/dingxi830/4023994.html,https://dimg04.c-ctrip.com/images/10041700000128nhlCD09_C_220_140.jpg,,定西市安定区永定西路44号,32
家和超市,定西,https://you.ctrip.com/shopping/longxi2796/3183502.html,https://dimg04.c-ctrip.com/images/100c170000012cbcl1DED_C_220_140.jpg,,甘肃省定西市陇西县巩昌镇五一长安大道翡翠新城A区,33
家家乐超市(北环路),定西,https://you.ctrip.com/shopping/longxi2796/3196728.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,,巩昌镇北环路华盛二号楼,34
哥弟,定西,https://you.ctrip.com/shopping/dingxi830/1799342.html,https://dimg04.c-ctrip.com/images/100g180000013pwlqE5EA_C_220_140.jpg,,北城巷3号,35
易捷便利店,定西,https://you.ctrip.com/shopping/longxi2796/3897779.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,,甘肃省定西市陇西县巩昌镇六一南安大道中国石化加油站,36
世纪华联超市,定西,https://you.ctrip.com/shopping/minxian1446170/3466779.html,https://dimg04.c-ctrip.com/images/100e170000012cf25AFA3_C_220_140.jpg,,090县道东50米,37
万客隆超市,定西,https://you.ctrip.com/shopping/dingxi830/3670114.html,https://dimg04.c-ctrip.com/images/1009180000013yy3jECB6_C_220_140.jpg,,甘肃省定西市安定区西岩路32-31,38
百盛超市,定西,https://you.ctrip.com/shopping/dingxi830/4112671.html,https://dimg04.c-ctrip.com/images/10041700000128nhlCD09_C_220_140.jpg,,311省道工商行政管理附近,39
华盛购物中心,定西,https://you.ctrip.com/shopping/longxi2796/2097222.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,,人民广场,40
去又来百货,定西,https://you.ctrip.com/shopping/lintao2787/2445160.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,,纸坊坡批发市场10号,41
人人乐超市,定西,https://you.ctrip.com/shopping/dingxi830/3568577.html,https://dimg04.c-ctrip.com/images/100v180000013yccr172C_C_220_140.jpg,,甘肃省定西市安定区永定西路159-1,42
爱购超市,定西,https://you.ctrip.com/shopping/minxian1446170/3429088.html,https://dimg04.c-ctrip.com/images/100a1800000142zqc6F09_C_220_140.jpg,,甘肃省定西市岷县S306(岷州东路),43
(太石服务区)超市,定西,https://you.ctrip.com/shopping/lintao2787/3467455.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,,太石服务区附近,44
内官综合经营部,定西,https://you.ctrip.com/shopping/dingxi830/3758669.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,,311省道附近,45
客都购物广场(南滨河路),平凉,https://you.ctrip.com/shopping/zhuanglang1446175/2098929.html,https://dimg04.c-ctrip.com/images/100h170000012b8r3A053_C_220_140.jpg,4.8,南滨河路,1
利郎男装,平凉,https://you.ctrip.com/shopping/huating2786/1763921.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/B4/1E/CghzfVW7TBeAA7aJAAA_9hhr3Vk862_C_220_140.jpg,4.8,仪州大道砚北小区西侧(砚北花园),2
家悦购物广场,平凉,https://you.ctrip.com/shopping/chongxin1446153/2328091.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,4.0,新窑镇新窑,3
西阜众鑫购物广场,平凉,https://you.ctrip.com/shopping/huating2786/2097019.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,4.8,西大街,4
星鼎购物广场(南门店),平凉,https://you.ctrip.com/shopping/jingchuan2795/2097086.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,4.0,中山街,5
噢丫丫饰品,平凉,https://you.ctrip.com/shopping/pingliang424/1804476.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M07/01/C2/CghzflW7TBaAEepGAAA_cKJq0PU514_C_220_140.jpg,4.5,西大街与仓坊巷交汇处附近,6
开元东方百货商场,平凉,https://you.ctrip.com/shopping/zhuanglang1446175/2462310.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,4.5,南滨河路与新昌路交叉口东南100米,7
上美商业广场,平凉,https://you.ctrip.com/shopping/huating2786/2101315.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,5.0,仪州大道附近,8
