names,places,popularity,scores,links,imgs
剑门关,广元,7.5,4.6,https://you.ctrip.com/sight/jiange3115/20449.html,https://dimg04.c-ctrip.com/images/0101s1200087dmzj44680_C_220_140.jpg
昭化古城,广元,6.6,4.7,https://you.ctrip.com/sight/guangyuan593/63532.html,https://dimg04.c-ctrip.com/images/0100s120008fmm5xy9EE8_C_220_140.jpg
千佛崖,广元,6.5,4.5,https://you.ctrip.com/sight/guangyuan593/20448.html,https://dimg04.c-ctrip.com/images/350a1a0000018ysgb8AC7_C_220_140.jpg
唐家河自然保护区,广元,5.6,4.8,https://you.ctrip.com/sight/qingchuan1446240/75802.html,https://dimg04.c-ctrip.com/images/0102l1200092mbjx25676_C_220_140.jpg
剑门关天赐温泉,广元,6.1,4.7,https://you.ctrip.com/sight/jiange3115/1410526.html,https://dimg04.c-ctrip.com/images/100i1f000001gp54g3D74_C_220_140.jpg
皇泽寺,广元,6.0,4.2,https://you.ctrip.com/sight/guangyuan593/20452.html,https://dimg04.c-ctrip.com/images/0100v120009hedwsh8266_C_220_140.jpg
翠云廊,广元,5.3,4.4,https://you.ctrip.com/sight/jiange3115/20450.html,https://dimg04.c-ctrip.com/images/1006hk114xg77qz745876_C_220_140.jpg
明月峡,广元,5.7,4.4,https://you.ctrip.com/sight/guangyuan593/20451.html,https://dimg04.c-ctrip.com/images/1A0i170000011g2qt628E_C_220_140.jpg
青木川古镇,广元,7.1,4.5,https://you.ctrip.com/sight/ningqiang2731/54322.html,https://dimg04.c-ctrip.com/images/0105o120008iml7aw371F_C_220_140.jpg
曾家山景区,广元,5.0,4.5,https://you.ctrip.com/sight/guangyuan593/128116.html,https://dimg04.c-ctrip.com/images/100u10000000o3xvr34E8_C_220_140.jpg
青溪古镇,广元,5.5,5,https://you.ctrip.com/sight/qingchuan1446240/1833121.html,https://dimg08.c-ctrip.com/images/10090z000000nnt7q40EA_C_220_140.jpg
剑门蜀道,广元,5.4,4.6,https://you.ctrip.com/sight/jiange3115/20446.html,https://dimg04.c-ctrip.com/images/01048120009hee0r85EB7_C_220_140.jpg
双旗美村,广元,4.8,4.9,https://you.ctrip.com/sight/jiange3115/5715267.html,https://dimg04.c-ctrip.com/images/0104v120008otl1ir8BF2_C_220_140.jpg
剑门关国际温泉大酒店温泉中心,广元,4.8,4.6,https://you.ctrip.com/sight/jiange3115/1482017.html,https://dimg04.c-ctrip.com/images/0102j12000aofnrkb1218_C_220_140.jpg
广元曾家山滑雪场,广元,4.7,4.2,https://you.ctrip.com/sight/guangyuan593/1510892.html,https://dimg04.c-ctrip.com/images/100l1f000001gqgoqA70D_C_220_140.jpg
雪溪洞,广元,4.6,4.6,https://you.ctrip.com/sight/guangyuan593/70545.html,https://dimg03.c-ctrip.com/images/10060z000000mhsuq1581_C_220_140.jpg
昭化牛头山,广元,4.6,5,https://you.ctrip.com/sight/guangyuan593/70253.html,https://dimg05.c-ctrip.com/images/100q1f000001grktvEABA_C_220_140.jpg
栖凤峡旅游区,广元,4.5,5,https://you.ctrip.com/sight/guangyuan593/135316415.html,https://dimg04.c-ctrip.com/images/0105e120009z3hxa5031C_C_220_140.jpg
广元商业步行街,广元,4.5,4.6,https://you.ctrip.com/sight/guangyuan593/5170656.html,https://dimg04.c-ctrip.com/images/0100712000bbiscqqABEB_C_220_140.jpg
广元市博物馆,广元,4.5,4.5,https://you.ctrip.com/sight/guangyuan593/3504335.html,https://dimg04.c-ctrip.com/images/0105q12000auwz8ix4539_C_220_140.jpg
柏林古镇,广元,4.4,4.9,https://you.ctrip.com/sight/guangyuan593/135059.html,https://dimg04.c-ctrip.com/images/0106m120009dncme6DB94_C_220_140.jpg
唐家河漂流,广元,4.4,4.8,https://you.ctrip.com/sight/qingchuan1446240/70274.html,https://dimg02.c-ctrip.com/images/10020z000000nq3tu9A37_C_220_140.jpg
剑门长歌,广元,4.2,5,https://you.ctrip.com/sight/jiange3115/5715395.html,https://dimg04.c-ctrip.com/images/0104e120008lqnp2p0E7A_C_220_140.jpg
阴平古道,广元,4.1,4.8,https://you.ctrip.com/sight/qingchuan1446240/1835057.html,https://dimg05.c-ctrip.com/images/0103u120008s77pd55B1C_C_220_140.jpg
米仓山大峡谷旅游景区,广元,4.1,4.8,https://you.ctrip.com/sight/wangcang1446225/99868154.html,https://dimg04.c-ctrip.com/images/0106y1200085difp4BF97_C_220_140.jpg
白龙湖,广元,4.1,5,https://you.ctrip.com/sight/guangyuan593/5068114.html,https://dimg04.c-ctrip.com/images/100t0z000000nlipi7331_C_220_140.jpg
广元市湿地公园,广元,4.0,4.4,https://you.ctrip.com/sight/guangyuan593/5068108.html,https://dimg07.c-ctrip.com/images/0103u120009ev5tit106E_C_220_140.jpg
凤凰山公园,广元,4.0,4.5,https://you.ctrip.com/sight/guangyuan593/128110.html,https://dimg04.c-ctrip.com/images/0100u12000aux0cy2F829_C_220_140.jpg
凤凰楼,广元,3.9,4.5,https://you.ctrip.com/sight/guangyuan593/1418218.html,https://dimg04.c-ctrip.com/images/100ohk124djjhw1gw3D1C_C_220_140.jpg
女皇温泉,广元,3.9,4.4,https://you.ctrip.com/sight/guangyuan593/1508218.html,https://dimg04.c-ctrip.com/images/100r1f000001gontfA0CB_C_220_140.jpg
广元观音崖,广元,3.9,4.8,https://you.ctrip.com/sight/guangyuan593/5141277.html,https://dimg04.c-ctrip.com/images/1mh2c12000b0r1n9w987A_C_220_140.jpg
平乐旅游区,广元,3.9,5,https://you.ctrip.com/sight/guangyuan593/134087157.html,https://dimg01.c-ctrip.com/images/0100w120009mu0emh3BA8_C_220_140.jpg
梁山寺,广元,3.9,4,https://you.ctrip.com/sight/jiange3115/1728666.html,https://dimg04.c-ctrip.com/images/0104h120008qiwdfj11B5_C_220_140.jpg
平乐寺,广元,3.8,5,https://you.ctrip.com/sight/guangyuan593/5141332.html,https://dimg04.c-ctrip.com/images/0100n120009ctr4txECF9_C_220_140.jpg
水磨沟,广元,3.8,4.7,https://you.ctrip.com/sight/guangyuan593/1411337.html,https://dimg04.c-ctrip.com/images/100k1f000001guf7m382D_C_220_140.jpg
剑门关古镇,广元,3.8,4,https://you.ctrip.com/sight/jiange3115/5701182.html,https://dimg04.c-ctrip.com/images/0104p12000az5r9kc0D2E_C_220_140.jpg
嘉陵江,广元,3.7,4.3,https://you.ctrip.com/sight/guangyuan593/5068109.html,https://dimg04.c-ctrip.com/images/350m15000000ylenuE240_C_220_140.jpg
昭化古城-文庙,广元,3.6,4.6,https://you.ctrip.com/sight/guangyuan593/4592219.html,https://dimg01.c-ctrip.com/images/0103h1200089itad474F6_C_220_140.jpg
龙门阁,广元,3.6,5,https://you.ctrip.com/sight/guangyuan593/69291636.html,https://dimg01.c-ctrip.com/images/010151200085h2pel19DF_C_220_140.jpg
巨石温泉行馆,广元,3.6,4.7,https://you.ctrip.com/sight/guangyuan593/1790985.html,https://dimg04.c-ctrip.com/images/0101l120008qyezol677D_C_220_140.png
芳草地QQ农场,广元,3.5,5,https://you.ctrip.com/sight/guangyuan593/3230709.html,https://dimg01.c-ctrip.com/images/01050120008ouahu25421_C_220_140.png
鼓城山七里峡景区,广元,3.5,4.6,https://you.ctrip.com/sight/wangcang1446225/1411147.html,https://dimg06.c-ctrip.com/images/10071f000001h6wei8E32_C_220_140.jpg
广元卡尔城海昌海洋探索馆,广元,3.4,3.8,https://you.ctrip.com/sight/guangyuan593/5689342.html,https://dimg04.c-ctrip.com/images/1lo3g12000b2lvt1i6A29_C_220_140.jpg
广元市曾家山鸳鸯池林场,广元,3.4,,https://you.ctrip.com/sight/guangyuan593/67702313.html,https://dimg04.c-ctrip.com/images/0100q120008jlfnr6FDA0_C_220_140.jpg
