names,places,links,imgs,popularity,scores,addresses
慕尼黑皇宫区,慕尼黑,https://you.ctrip.com/sight/munich572/54153.html,https://dimg02.c-ctrip.com/images/1A091800000144q6g2C81_C_220_140.jpg,7.5,4.6,住宅大街1.80333 慕尼黑
玛利亚广场,慕尼黑,https://you.ctrip.com/sight/munich572/52782.html,https://dimg04.c-ctrip.com/images/10081f000001gqj2b78B8_C_220_140.jpg,8.7,4.7,"玛利亚广场1, 80331 慕尼黑, 德国"
慕尼黑新市政厅,慕尼黑,https://you.ctrip.com/sight/munich572/22552.html,https://dimg04.c-ctrip.com/images/01013120008g0sblbD02F_C_220_140.jpg,8.1,4.7,"Marienplatz 8, 80331 Munich"
宁芬堡皇宫,慕尼黑,https://you.ctrip.com/sight/munich572/22551.html,https://dimg04.c-ctrip.com/images/fd/tg/g3/M04/76/72/CggYG1Z7tHmAQmuBABihiBGAnnA228_C_220_140.jpg,7.6,4.5,"Nymphenburg Palace 1, 80638 Munich"
宝马博物馆,慕尼黑,https://you.ctrip.com/sight/munich572/142305.html,https://dimg04.c-ctrip.com/images/10081f000001gqgqh2E82_C_220_140.jpg,8.0,4.6,"Am Olympiapark 2, 80809 Munich, Bavaria"
皇家啤酒屋,慕尼黑,https://you.ctrip.com/sight/munich572/54152.html,https://dimg04.c-ctrip.com/images/fd/tg/g4/M0B/AA/A9/CggYHFXS6hGAOmqwABWNKyR4N-4084_C_220_140.jpg,7.8,4.6,Platzl 9.80331 Munich
安联球场,慕尼黑,https://you.ctrip.com/sight/munich572/1412501.html,https://dimg04.c-ctrip.com/images/100d0z000000ne6gq061D_C_220_140.jpg,7.6,4.6,"Werner-Heisenberg-Allee 25, 80939 Munich"
德意志博物馆,慕尼黑,https://you.ctrip.com/sight/munich572/54154.html,https://dimg04.c-ctrip.com/images/100l1f000001gqfar2BB6_C_220_140.jpg,7.3,4.6,"博物馆岛 1, 80538 慕尼黑"
宝马世界,慕尼黑,https://you.ctrip.com/sight/munich572/22550.html,https://dimg04.c-ctrip.com/images/100q1d000001ea1aj0DB3_C_220_140.jpg,7.3,4.5,"Am Olympiapark 1, 80809 Munich"
英国花园,慕尼黑,https://you.ctrip.com/sight/munich572/22549.html,https://dimg04.c-ctrip.com/images/100e1f000001gszwd19D8_C_220_140.jpg,7.0,4.5,德国慕尼黑
圣母教堂,慕尼黑,https://you.ctrip.com/sight/munich572/22554.html,https://dimg04.c-ctrip.com/images/01029120008g1l6xp299C_C_220_140.jpg,7.2,4.5,圣母广场12，80331 慕尼黑
宝马总部大楼,慕尼黑,https://you.ctrip.com/sight/munich572/1742862.html,https://dimg04.c-ctrip.com/images/1001180000014ld6jB560_C_220_140.jpg,6.6,4.6,"BMW Headquarters, Petuelring 130, 80809 Munich"
圣彼得教堂,慕尼黑,https://you.ctrip.com/sight/munich572/22555.html,https://dimg04.c-ctrip.com/images/100w1f000001gwcob47F5_C_220_140.jpg,6.5,4.5,"Rindermarkt 1, 80331 Munich, Germany"
王宫花园,慕尼黑,https://you.ctrip.com/sight/munich572/1414425.html,https://dimg04.c-ctrip.com/images/fd/tg/g4/M04/84/9D/CggYHVZ7t-CAQUp-ABVtd0s62VE456_C_220_140.jpg,6.5,4.5,"Hofgartenstrasse 1, 80538 Munich, Germany"
慕尼黑旧市政厅,慕尼黑,https://you.ctrip.com/sight/munich572/1414432.html,https://dimg04.c-ctrip.com/images/fd/tg/g4/M08/7E/76/CggYHlZ7uNqAVwocABKdR-9j5fo599_C_220_140.jpg,6.5,4.4,"Marienplatz 15, 80331 Munich"
谷物市场,慕尼黑,https://you.ctrip.com/sight/munich572/2002809.html,https://dimg04.c-ctrip.com/images/100o1f000001gp28lC876_C_220_140.jpg,6.4,4.2,"Viktualienmarkt 3, 80331 Munich, Bavaria, Germany"
慕尼黑奥林匹克公园,慕尼黑,https://you.ctrip.com/sight/munich572/22553.html,https://dimg04.c-ctrip.com/images/fd/tg/g3/M0A/83/71/CggYGlXNxmOAE_oLAArUyu6gp7o939_C_220_140.jpg,6.4,4.4,"Spiridon-Louis-Ring 21, 80809 Munich, Germany"
阿桑教堂,慕尼黑,https://you.ctrip.com/sight/munich572/1414443.html,https://dimg04.c-ctrip.com/images/100a0z000000n7zia723E_C_220_140.jpg,5.8,4.5,"Sendlinger Str. 32, 80331 Munich, Bavaria, Germany"
慕尼黑凯旋门,慕尼黑,https://you.ctrip.com/sight/munich572/134411.html,https://dimg04.c-ctrip.com/images/100s1f000001gx5206BBA_C_220_140.jpg,5.6,4.3,"Leopoldstrasse 1, 80539 Munich, Bavaria, Germany"
卡尔门,慕尼黑,https://you.ctrip.com/sight/munich572/1414442.html,https://dimg04.c-ctrip.com/images/fd/tg/g4/M08/84/A3/CggYHVZ7uB6ARXGsACAm2colQLA684_C_220_140.jpg,5.8,4.3,"Neuhauser Str. 47, 80331, 80331 Munich, Bavaria, Germany"
皇宫博物馆,慕尼黑,https://you.ctrip.com/sight/munich572/1414454.html,https://dimg04.c-ctrip.com/images/0104n120008gh6po850AC_C_220_140.jpg,5.7,4.5,"Residenzstrasse 1, 80333 Munich"
统帅堂,慕尼黑,https://you.ctrip.com/sight/munich572/134423.html,https://dimg04.c-ctrip.com/images/100c1f000001gsyq32763_C_220_140.jpg,5.7,4.4,"Residenzstrasse 1, 80333 Munich, Germany"
马克斯-约瑟夫广场,慕尼黑,https://you.ctrip.com/sight/munich572/1414434.html,https://dimg04.c-ctrip.com/images/10051f000001gsqrbE16B_C_220_140.jpg,5.7,4.2,"Munich, Bavaria, Germany"
慕尼黑凯旋门,慕尼黑,https://you.ctrip.com/sight/munich572/134411.html,https://dimg04.c-ctrip.com/images/100s1f000001gx5206BBA_C_220_140.jpg,5.6,4.3,"Leopoldstrasse 1, 80539 Munich, Bavaria, Germany"
路德维希马克西米利安大学,慕尼黑,https://you.ctrip.com/sight/munich572/110580.html,https://dimg04.c-ctrip.com/images/0102m120008g1kpsx2D40_C_220_140.jpg,5.6,4.3,"Geschwister-Scholl-Platz 1, 80539 München, Germany"
拜仁球迷世界,慕尼黑,https://you.ctrip.com/sight/munich572/1746088.html,https://dimg04.c-ctrip.com/images/100m0z000000np1htD5F6_C_220_140.jpg,5.5,4.4,"Werner-Heisenberg-Allee 25 | Allianz Arena, 80939 Munich, Bavaria, Germany"
特埃蒂娜教堂,慕尼黑,https://you.ctrip.com/sight/munich572/134422.html,https://dimg04.c-ctrip.com/images/10031f000001gs19c84FC_C_220_140.jpg,5.4,4.4,"Theatinerstr. 22, 80333 Munich, Bavaria, Germany"
玛利亚纪念柱,慕尼黑,https://you.ctrip.com/sight/munich572/1414461.html,https://dimg04.c-ctrip.com/images/10091f000001gsn6329C0_C_220_140.jpg,5.4,4.3,"Marienplatz 8, 80331 Munich"
新天鹅堡,慕尼黑,https://you.ctrip.com/sight/schwangau25595/22578.html,https://dimg07.c-ctrip.com/images/100i0u000000izstbEF79_C_220_140.jpg,10,4.6,"Neuschwansteinstrasse 20, 87645 Schwangau, Germany"
老绘画陈列馆,慕尼黑,https://you.ctrip.com/sight/munich572/134424.html,https://dimg04.c-ctrip.com/images/1A0u180000013ossiEDDD_C_220_140.jpg,5.2,4.2,"Barer Street 27 | Entrance Theresienstrasse, 80333 Munich, Bavaria, Germany"
特蕾西娅草坪,慕尼黑,https://you.ctrip.com/sight/munich572/1414456.html,https://dimg04.c-ctrip.com/images/fd/tg/g4/M04/7E/8D/CggYHlZ7uTmAYHsKABTfHpufYEk482_C_220_140.jpg,5.2,4.5,"Munich, Bavaria, Germany"
国王广场,慕尼黑,https://you.ctrip.com/sight/munich572/22548.html,https://dimg04.c-ctrip.com/images/100n1f000001gpb497374_C_220_140.jpg,5.1,4.3,"Konigsplatz 1, 80333, 80333 Munich, Bavaria, Germany"
