names,popularity,scores,links,imgs
月亮湾风景区,5.5,3.6,https://you.ctrip.com/sight/jingcounty2616/5069284.html,https://dimg03.c-ctrip.com/images/01041120008bv96ldCF5E_C_220_140.jpg
桃花潭,6.7,4.3,https://you.ctrip.com/sight/jingcounty2616/55299.html,https://dimg04.c-ctrip.com/images/0100x1200081zqospE3A4_C_220_140.jpg
查济,6.7,4.4,https://you.ctrip.com/sight/jingcounty2616/55309.html,https://dimg04.c-ctrip.com/images/100v1f000001h1cd42E23_C_220_140.jpg
水墨汀溪风景区,5.4,4,https://you.ctrip.com/sight/jingcounty2616/1408566.html,https://dimg04.c-ctrip.com/images/010691200083rhnyh0749_C_220_140.jpg
黄山风景区,9.2,4.7,https://you.ctrip.com/sight/huangshan120061/64844.html,https://dimg04.c-ctrip.com/images/100q0z000000nm6w7F15F_C_220_140.jpg
九华山,8.3,4.7,https://you.ctrip.com/sight/qingyang2613/126392.html,https://dimg04.c-ctrip.com/images/0105f1200087dvhgu60B0_C_220_140.jpg
马仁奇峰风景区,6.2,4.4,https://you.ctrip.com/sight/wuhu457/65169.html,https://dimg04.c-ctrip.com/images/350n1800000155gre3650_C_220_140.jpg
桃花潭10℃竹筏漂流,5.0,5,https://you.ctrip.com/sight/jingcounty2616/5709233.html,https://dimg04.c-ctrip.com/images/100s1g000001hosvm8451_C_220_140.jpg
皖南大峡谷激情漂流,4.8,4.6,https://you.ctrip.com/sight/jingcounty2616/5709621.html,https://dimg04.c-ctrip.com/images/0106b120009glckchD3FA_C_220_140.jpg
太平湖,6.4,4.3,https://you.ctrip.com/sight/huangshan120061/19828.html,https://dimg04.c-ctrip.com/images/10021900000169zun9D6F_C_220_140.jpg
敬亭山,5.8,4.4,https://you.ctrip.com/sight/xuancheng504/17524.html,https://dimg04.c-ctrip.com/images/0106t120008f6d7p0BA8B_C_220_140.jpg
宏村景区,8.8,4.5,https://you.ctrip.com/sight/yicounty528/140895.html,https://dimg04.c-ctrip.com/images/1lo6h12000bac2li9A6A7_C_220_140.jpg
宣纸文化园,4.2,4.5,https://you.ctrip.com/sight/jingcounty2616/1408628.html,https://dimg04.c-ctrip.com/images/350v0y000000m6glu2B2B_C_220_140.jpg
九华山大愿文化园,6.5,4.7,https://you.ctrip.com/sight/qingyang2613/141721.html,https://dimg04.c-ctrip.com/images/0104g1200087doyf9C076_C_220_140.jpg
皖南川藏线全地形越野营地,3.9,5,https://you.ctrip.com/sight/jingcounty2616/5717206.html,https://dimg04.c-ctrip.com/images/0106e120009hzqclo1B1A_C_220_140.jpg
平垣秘境,3.7,1,https://you.ctrip.com/sight/jingcounty2616/133903143.html,https://dimg04.c-ctrip.com/images/01022120009edhkb435D9_C_220_140.jpg
绿林谷景区,3.6,4.1,https://you.ctrip.com/sight/jingcounty2616/4682349.html,https://dimg04.c-ctrip.com/images/100o1f000001gp27r5284_C_220_140.jpg
西海大峡谷,6.5,4.7,https://you.ctrip.com/sight/huangshan120061/19823.html,https://dimg04.c-ctrip.com/images/10011f000001h37e31E73_C_220_140.jpg
中国宣纸博物馆,3.4,4.7,https://you.ctrip.com/sight/jingcounty2616/69217612.html,https://dimg04.c-ctrip.com/images/0103j12000axxjm3gBAFF_C_220_140.jpg
丫山花海石林,4.6,4.2,https://you.ctrip.com/sight/nanling1445976/65183.html,https://dimg04.c-ctrip.com/images/100212000000smi3h6083_C_220_140.jpg
