names,places,addresses,times,teles,titles,descs
兴隆热带植物园,屯昌,万宁市兴隆镇南部223国道,今日08:30开放,"0898-62554410,0898-62555900",介绍->开放时间->优待政策->服务设施,"兴隆热带植物园始建于1957年，颇有历史。它地处万宁东郊，风景秀丽，热带植物种类丰富，还可观赏到“见血封喉”等珍稀植物资源。葱葱的绿海，幽幽的果香，漫步其中非常舒服。


走进兴隆热带植物园，便如同打开了一本关于热带植物的百科全书，且有许多一般植物园内见不到的奇花异木，如可可树、铁西瓜等。这里还汇集有胡椒、香草兰等热带经济作物和榴莲、山竹子等果树。


园区休息接待品尝处还免费提供园区自研自产的兴隆咖啡、可可系列饮品及各式名茶，如苦丁茶、糯米香茶等。如果觉得好喝，有需要的话，可以到里面的超市购茶，买回去当特产还是不错的。->全年 08:30-17:00,->儿童：年龄6周岁（不含）以下（凭有效证件）或身高1.2米（不含）以下，免费；身高1.2米（含）-1.4米（含），优惠
老人：70周岁（含）以上凭有效身份证，免费；60周岁（不含）-69周岁（含）凭有效证件，优惠
全日制大中小学生（不含成人教育研究生）：凭学生证，优惠
现役军人：凭军官证，免费
残疾人：凭伤残证，免费
记者：凭国家新闻总署颁发的记者证，免费
警察：凭警官证，免费
教职工：凭教师资格证，优惠
补充说明：以上信息仅供参考，具体信息请以景区当天披露为准。->停车场：【兴隆热带植物园停车场】参考价格：10元/次；地址：景区入口；库位：以景区实际为准；小车5元/次，大车10元/次
童车租赁：参考价格：免费，需300元作为押金；地址：游客中心
卫生间：景区内设有卫生间，有明显指示"
世界热带水果之窗,屯昌,海南省琼海市大路镇湖仔村委会湖仔村,今日08:30开放（18:30停止售票，18:30停止入园）,089862738570,介绍->开放时间->优待政策,"世界热带水果之窗位于海南省琼海市大路镇，项目为国家热带种质资源库珍稀果树分库，园区累计从中美洲、南美洲、东南亚等地引进全球热带新奇水果近500余种，其中燕窝果、冰激凌果、手指柠檬等300多个品种已试种成功，园区内奇特花果飘香，风景秀丽，让您在此足不出户，看遍吃遍世界佳果。快快来开启您毕生难忘的奇幻水果之旅！->2023年1月1日-2023年12月31日 08:30-19:00,（18:30停止售票，18:30停止入园）->儿童（(学生研学/春游秋游等除外)）：6周岁（不含）以下、1.2米（不含）以下，免费
全日制大中小学生：凭学生证，半价
老人：60周岁（含）-69周岁（含）持身份证或老年优待证，半价；70周岁（含）以上凭身份证或老年优待证，免费
现役军人：凭有效证件，免费
残疾人：凭残疾人证，免费
儿童：1.2米（含）-1.4米（不含），半价
补充说明：已经参加旅行社组团的上述人员不享受优惠或免票政策"
琼海官塘假日度假酒店温泉,屯昌,海南省琼海市白石岭大道,今日08:30开放（22:00停止售票，22:00停止入园）,"0898-36867176,0898-62802888",介绍->开放时间->优待政策,"琼海官塘假日度假酒店温泉位于琼海官塘白石岭风景区东侧，依山傍水，风景秀丽。


园内拥有26个室内外温泉池绿荫环绕。错落有致，融入海南亚热带自然环境，水波涌动、树影婆娑，或穿梭其间，或静侵泉池，勾万千遐思，享一身轻松。


国际化的健康水疗技术，以健康、活力、放松为主题，通过泉美温泉量身订制的活力健康， 雨林SPA、高空巢汤的星空浪漫，带来一个愉悦身心的体检过程。->全年 08:30-23:00,（22:00停止售票，22:00停止入园）->儿童：身高1.2米（含）以下（1名购票成人仅可携带1名免票儿童），免费；身高1.2米（不含）-1.4米（含），优惠"
五指山热带雨林风景区,屯昌,五指山市水满乡右进1.5公里热带雨林风景区,今日08:30开放（15:30停止入园）,0898-86550401,介绍->开放时间->优待政策->服务设施,"五指山热带雨林风景区位于五指山脚下的水满乡，这里有着茂密的热带雨林景观，原始黎村的母亲河——水满河流经了整个景区，空气清新，风光旖旎。在景区内还可正面远眺五指山，领略它的巍峨壮观和大自然的鬼斧神工。
游玩五指山热带雨林风景区以步行为主，景区内古树参天，藤萝密布，奇花异草随处可见。在眺望台可欣赏到五指山巍峨耸立，五峰并列如撑天五指，在云海中时隐时现的美景。水满乡是黎族聚居地，群山环抱中的黎族民居更是幽静而美丽。->全年 08:30-16:30,（15:30停止入园）->老人：70周岁（含）以上老人凭本人身份证，免门票；65周岁（含）-69周岁（含）老人凭本人身份证，优惠
残疾人：凭残联颁发的残疾证，免门票
军人：现役军人凭有效证件（军官证、士兵证），免门票
儿童：1.2米（含）以上且18周岁（不含）以下，优惠
学生：全日制大中小学生证，优惠->卫生间：景区内设有卫生间，有明显指示"
红色娘子军纪念园,屯昌,琼海市嘉积镇万石坡东线高速公路官塘入口处,今日08:00开放（17:00停止入园）,,介绍->开放时间,"红色娘子军诞生于琼海，景区正是为纪念她们的伟大而建立的。在这里可以看到与红色娘子军相关的众多历史遗物，聆听她们的历史传说。
步入景区，引人注目的当属那座总高6.8米的红色娘子军雕像了，它脚穿草鞋、肩背竹笠，充分展现了一代巾帼英雄的气慨。景区内还陈列着关于红色娘子军的珍贵照片和文物资料。->全年 8:00-17:30,（17:00停止入园）；具体营业状态以当天开放情况为准"
博鳌海上跳伞基地,屯昌,琼海市博鳌机场内,今日09:00开放（17:00停止入园）,15008404772,介绍->开放时间,"博鳌海上跳伞基地是国内难得的海景跳伞基地，景色十分漂亮。跳伞由博鳌机场起飞，在海边出舱，可俯瞰下方海景及沿海景观。跳伞高度更是达到了4000米以上，近50秒的自由落体时间可以提供更多广阔的画面。->全年 09:00-17:00,（17:00停止入园）；需提前3-5天预约"
巴厘村,屯昌,万宁市兴隆华侨农场工业大道合口旅游区1号,今日07:30开放,0898-62555555,介绍->开放时间->优待政策->服务设施,"巴厘村以兴隆南洋归侨文化为背景，通过南洋“风情”、“风俗”、“风光”、“风味”将兴隆南洋归侨回国后的生活串联起来，是一个以归侨文化为主题的景区。
巴厘村由五个功能区组成，南洋文化馆通过图片和文字详实记载南洋归侨回国的真实情况，展示兴隆华侨农场60多年来的建设发展史。
归侨生活区通过以三个不同年代具有代表性的归侨家居为背景（50年代马来西亚归侨的茅草房、60年代印尼归侨的砖瓦房、70年代越南归侨的石头房），通过不同侨居国的手工作坊体验，再现一幅幅马来归侨炒咖啡、印尼归侨烤薄饼、越南归侨做椰糖的真实画面。
南洋风情街是在在景区花梨山搭建一个有东南亚特色的舞台，以老归侨自娱自乐的歌舞弹唱表演，游客也可互动参与，听欢快的音乐、看迷人的舞姿、穿鲜艳的花衫、品尝风味小吃、体验异国风情。
归侨根缘馆利用现有根艺馆，讲述南洋归侨与兴隆的情缘故事，把根艺布置与兴隆华侨农场的开发建设结合起来，唤醒人们爱护绿色、保护环境的环保意识。
产品体验区内以南洋文化为底蕴、以南洋风味为基石，经营销售仅有的南国“老归侨”系列特色产品，“品尝南国风味、领略南洋风情”。->全年 07:30-17:30,->老人：70周岁（含）以上凭老年证或身份证，免费；60周岁（含）-70周岁（不含）凭老年证或身份证，半价
儿童：身高1.2米（含）以下，免费；身高1.2米（不含）-1.5米（含），半价
现役军人：凭军官证，免费
残疾人：凭残疾证，免费
导游：凭导游证，免费
记者：凭记者证，免费
消防员：凭相关证件，半价
全日制大中小学生：凭学生证，半价->停车场：【兴隆南国热带雨林游览区停车场】参考价格：免费；地址：兴隆南国热带雨林游览区内；库位：200"
观澜湖华谊冯小刚电影公社,屯昌,海口市龙华区羊山大道19号电影公社（西线高速往观澜湖温泉1.8公里处）,今日09:00开放（21:00停止售票，21:00停止入园）,0898-36688000,介绍->开放时间->优待政策->服务设施,"海口观澜湖华谊冯小刚电影公社是由观澜湖集团携手华谊兄弟公司、知名导演冯小刚，巨资打造的中国独具特色的电影主题旅游胜地。
电影公社包括1942·芳华景区、南洋景区、老北京景区、美丽乡村石山村落景区、影人星光大道六大独立景区。在集纳电影场景的各个区里，还聚集了不同品牌和特色的餐饮、娱乐、购物、电影院、咖啡屋、酒吧、精品酒店……难忘的电影场景，浓郁的怀旧气氛，日与夜转换的旅游商业街区，使整个项目集建筑旅游、电影旅游、商业旅游于一体，完整展现上世纪百年间，不同时空转换的中国城市街区风情和城市街区建筑的演变史。


1942·芳华景区，以电影《一九四二》和《芳华》中的场景为蓝本，让银幕里的世界触手可及。1942景区以电影《一九四二》中的重庆街道为蓝，91栋建筑集合了上世纪二十至四十年代长江流域上海、南京、武汉、重庆四大城市典型的建筑风情，其中25栋建筑完全按照老照片复原，包括西山钟楼、重庆国泰戏院、上海融光大戏院等等，每一栋建筑背后都有一段流逝的故事，令人追忆和回味。
芳华景区是专门为2017年贺岁电影《芳华》规划建设的电影实景区，电影中80%的场景取自这里。景区内设置影壁墙、篮球场、排练厅和练功房、泳池、更衣室、道具间、军需库等。为了确保场景准确还原年代背景，景区从设计到建造陈设，从景区内随处可见的红色标语甚至到游泳池的一块瓷砖，都严格遵照上世纪70年代中国风貌和年代特色真实展现，让人身临其境。


南洋景区座落在300多米长的水岸边，集合了70幢中外建筑风格交相辉映的南洋风情建筑。其中，富有时代感的牌坊、码头、钟楼、小桥等南洋建筑集群极富意趣。南洋街充分凸显了“一带一路”和海南地域特色，不仅真实还原南洋风情建筑和街道，而且还原性呈现武馆、当铺、洋服铺、药铺、凉茶铺、饼屋等南洋市井商业风情，同时全天候的演艺让游客感受到立体多元的文化旅游体验，完整再现中国历史上三大迁徙之一的“下南洋”的盛况与繁华。


老北京景区集合老北京风情建筑集群的精华，真实还原新中国成立后至上世纪七十年代老北京城的历史韵味，高大的钟鼓楼与明清古建筑和雄伟的苏式建筑群，体现出大气、端庄、简洁的建筑审美情趣，更加原汁原味的体现老北京的文化内涵，特别融入了电影《老炮儿》里的北京胡同元素，更显京味十足。


美丽乡村石山村落景区以海口火山地区石山村落鲜明特色的建筑群，依托天然的火山坑，以灯塔为中心打造海口美丽乡村。景区以沉浸式体验为理念，把海南本土的榨甘蔗，熬红糖，制作黎族织锦等传统手工艺场景建造成实景，为孩子们打造了松鼠小剧场和动物农场饲养，出口位置的农贸集市售卖海口本地的特色农产品，充分调动游客的趣味性和参与性。以电影《非诚勿扰2》中的 “鸟巢”并加以改造酒店和仿造火山民居的主题客栈，旨在让游客重温电影中的场景，并为游客提供极具特色的住宿体验。
影人星光大道设置于电影公社正门入口的长廊，由国内一线的影视明星和导演的手印和签名组成。充分考察和借鉴好莱坞及中国香港的星光大道，采用整块大理石，通过人工切割、雕刻、打磨，制作成1.2米高的ArtDeco风格的基座，方便游客在喜爱的明星手印前拍照留念。首批呈现的80位明星手印和签名，大部分明星和导演都亲临过电影公社，包括冯小刚、葛优、张国立、成龙、刘德华、徐帆、宋丹丹、姚晨、李冰冰、廖凡、段奕宏、徐克、管虎等国内一线明星和导演。->2023年1月1日-2023年12月31日 09:00-22:00,（21:00停止售票，21:00停止入园）；各景区营业时间、《南洋往事》演出场次说明： 1、东方红景区、南洋潮景区、江城谣·芳华景区09:00-22:00。 2、演出场次：周二至周日每日2场（16:00场、19:30场），每周一休演。 3、营业及演出时间如有变动，请以现场实际情况为准。->儿童：身高1.2米(含)以下，景区门票、《南洋往事1》演出票均免费；6周岁(含)以下，景区门票免费
老人：70周岁(含)以上，凭本人身份证，景区门票免费；60周岁(含)-69周岁(含)长者凭本人身份证，日场门票优惠
青少年：6周岁（不含）-18周岁（含）凭身份证件或户口本，日场门票优惠
学生：全日制大学本科及以下学历凭学生证和身份证双证，日场门票优惠
残疾人：残疾人士凭本人《中华人民共和国残疾证》，景区门票免费
军人：现役军人、革命伤残军人、离退休军人凭本人：《军官证》、《军队文职干部证》、《中国人民武装警察部队警官证》、《士兵证》、《军人离退休证》、《革命军人伤残证》、《军警院校学员证》及国家综合性消防救援队伍人员凭有效证件，景区门票免费
带团导游：本人持国家旅游局颁发的《电子导游证》及含有本景区有效行程单，景区门票免费
补充说明：1、免票人群可享日场门票和夜场门票均免费。优待人群可享日场门票优惠政策，夜场门票票无优惠。 2、《《南洋往事1》演出票仅身高1.2米(含)以下儿童免费，其他人群无优惠。 2、以上信息仅供参考，具体信息请以景区当天披露为准。->停车场：【观澜湖华谊冯小刚电影公社停车场】参考价格：5元/辆；地址：观澜湖华谊冯小刚电影公社售票处；库位：以景区实际情况为准
行李寄存：参考价格：以行李大小实际情况为准
卫生间：景区内设有卫生间，在景区入口等地设置有明显标志牌
餐饮：观澜湖华谊冯小刚电影公社内设有多个餐厅，具体位置可询问工作人员或根据导览标示选择。
自动售卖机：观澜湖华谊冯小刚电影公社内设有多个自动售卖机，可使用支付宝/微信支付。
便利店：观澜湖华谊冯小刚电影公社内设有多个便利店，可使用支付宝/微信支付。"
猪哈哈的农场,屯昌,屯昌县坡心镇（海榆中线224国道）,营业时间待定,0898-36818999,介绍->开放时间->优待政策,"猪哈哈的农场位于海南屯昌坡心镇，以农业种植为文化载体，有19个农业观光大棚，其中划分太空棚、科普棚、习耕棚、育苗棚、采摘棚，另配备若干户外采摘区等，是集农业观光科普、亲子娱乐、户外拓展、餐饮住宿和商业服务等多功能于一体的休闲农业体验。
猪哈哈的农场目前设有农业观光大棚、湖畔餐厅、货柜客栈、田园果蔬采摘区、亲子娱乐项目、木屋咖啡吧、手工体验作坊、亲子动物园、亲水码头、垂湖畔钓区、河畔烧烤区、拓训基地、会议中心等相应设施。
提供屯昌风味美食、货柜客栈、果蔬采摘、咖啡书吧、手工磨豆腐、陶泥DIY、儿童亲子空间、湖畔垂钓、烧烤BBQ、水上皮划艇、摸鱼摸虾、田园会议，草坪拓训场、VR互动空间、亲子动物园、羊驼馆、猪猪学堂等互动体验项目，满足不同游客的个性化需求。->全年 09:00-20:00,（19:00停止售票，19:00停止入园）；景区开放时间根据天气、人流量及不可抗力因素或有调整，详情请以景区当天现场公示为准。->儿童：2周岁（含）以下凭户口本等有效证件，免费
老人：70周岁（含）以上凭身份证，免费
现役军人：凭相关有效证件，免费"
狂欢水世界,屯昌,海南省海口市龙华区羊山大道63 号（观澜湖新城内）,今日13:00开放（20:00停止入园）,0898-31070299,介绍->开放时间->优待政策,"海口狂欢水世界占地5 万平方米，拥有很高的30 种代表滑道, 主要有黑暗漩涡，U 型滑板，大水箭，激发360，勇闯龙脊峰，8 道竞技，急速飞梯，激流勇进组合，狂欢嬉水基地等9 套加拿大白水公司的进口设备组合，包括专门给小小冒险家玩乐的小小狂欢天地和宝宝狂欢天地, 一条约330 米的长漂流河，一个约3700 平方米的造浪池，附带大屏幕及现场娱乐，冲浪模拟器带来较美好的海浪体验。


狂欢水世界园区将打造为一个适合所有年龄段人群的综合性水上乐园。->2023年1月1日-2023年4月26日 ；2023年11月1日-2023年12月31日 ；2023年4月27日-2023年10月31日 13:00-21:00,（20:00停止入园）->儿童：身高1.2米(含)以下儿童，免费；身高1.2米(不含)-1.5米(不含)，优惠
老人：70周岁(含)以上老人凭身份证入场，免费
补充说明：16周岁（含）以下儿童、70周岁（含）以上老人均需有1名18周岁（含）至69周岁（含）的成人购票陪同方可入园游玩；园区均不提供免费陪同票"
