names,places,addresses,times,teles,titles,descs
纽约现代艺术博物馆,纽约,"11 W 53rd St, New York, NY 10019, USA",今日10:30开放,+1 212-708-9400,介绍->开放时间->优待政策->服务设施->必看贴士,"纽约现代艺术博物馆简称MoMA，是纽约的文化标识。莫奈《睡莲》、梵高《星夜》、马蒂斯《舞》、毕加索《阿维尼翁的少女》等传世名作，以及雕塑、版画、摄影、家具、装置艺术等现代艺术品多达15万件。


现代艺术博物馆地下两层是电影院，楼上共有6层，展览大致分为绘画、版画、摄影、素描、建筑与设计、装置艺术、雕塑以及特别展览。大堂中间设有咨询台，可以索取中文导览图。->全年 周一-周五,周日 10:30-17:30 周六 10:30-19:00；每周一上午10:30-13:00只接待会员；具体营业状态以当天开放情况为准->儿童：15周岁及以下，需至少1名成人购票陪同进入，免费->残障通道：轮椅可以访问整个博物馆->博物馆不定期会有特别展览，到访前可以通过官网了解更多资讯。->博物馆不定期会有特别展览，到访前可以通过官网了解更多资讯。"
纽约百老汇《芝加哥》,纽约,"Ambassador Theatre, 219 West 49th Street, New York, NY 10019",,+1-212-239-6200,介绍->开放时间->服务设施,1996年音乐剧《芝加哥》开始在百老汇演出，大获成功。至今，《芝加哥》演出足迹遍布全球261个城市。其主要歌曲《爵士春秋》被改编为五种语言发行全世界。目前，《芝加哥》与《悲惨世界》、《歌剧院的幽灵》、《美女与野兽》等同为仍然还在百老汇演出并且连续巡演时间长的音乐剧之一。《芝加哥》问世以来，以其高超的艺术质量和精美的制作和表演获得了超过50项的重要奖项。其中包括托尼奖、格莱美、奥利弗和赫尔普曼奖。根据它拍成的同名电影则获得13项奥斯卡提名并终获得包括佳影片等6项大奖。->以上为售票处开放时间，因每日演出时间不同，详细演出时间表请见官网或现场公示。->卫生间：设有卫生间
无畏号海、空暨太空博物馆,纽约,"12th Avenue & 46th Street, Pier 86, New York City, NY 10036",今日10:00开放（17:00停止入园）,+1-212-2450072,介绍->开放时间->优待政策->服务设施->必看贴士,"无畏号海、空暨太空博物馆展出包括无畏号航空母舰、USS Growler号潜水艇以及各种军用战斗机、武装直升机、海岸保卫救援直升机、高射炮和鱼雷。巨大的航母停靠在岸边，成为哈德逊河边的一道亮丽风景。
进入博物馆前需要进行简单的安检，主入口便是航母的下层机库甲板层。机库甲板层上面是飞行甲板层，之间有电梯相连，可以迅速将飞机从底舱机库中运到飞行甲板上。飞行甲板左边是舰岛，它是航母的指挥中心，指挥塔、飞行控制室、航海室、雷达天线通讯中心都设在舰岛。甲板上停满了各种战斗机和直升机，军事迷们肯定知道这些军用飞机的型号。USS Growler号潜水艇可供游人参观，内部的金属机器、操作台、检测舱都值得一看。->2023年10月1日-次年2023年3月31日 10:00-17:00（16:00停止入园）；2023年4月1日-2023年9月30日 周一-周五 10:00-17:00（16:00停止入园） 周六-周日 10:00-18:00（17:00停止入园）；节假日开放时间同周六、日的开放时间；具体营业状态以当天开放情况为准；->儿童：4周岁及以下，免费
补充说明：需由至少1名成人购票陪同入园->餐厅：博物馆设有多家餐厅Aviator Grill：游客中心2楼. Pier 86, West 46th Street & 12th Avenue, ManhattanIntrepid Marketplace：甲板. Pier 86, West 46th Street & 12th Avenue, Manhattan
纪念品商店：博物馆设有纪念品商店，位于游客中心1楼和战机甲板处网上商店：https://www.intrepidmuseum.org/Plan-Your-Visit/Public-Events-Calendar/2016-PEC-Details/food-and-gift-shop->1. 如需进入潜艇需身体健康，有幽闭恐惧症患者不宜进入。不得带食物、饮料、大袋、背包及婴儿车进入。
2. 年龄弱小者必须在成人陪同下进入博物馆参观，无成人陪同不得进入博物馆。
3. 博物馆内提供语音导览服务，第一次5美元，之后每增加一处语音导览服务收取4美元。除了英语之外，还有西班牙语、意大利语、法语、日语、中文及德语。->1. 如需进入潜艇需身体健康，有幽闭恐惧症患者不宜进入。不得带食物、饮料、大袋、背包及婴儿车进入。
2. 年龄弱小者必须在成人陪同下进入博物馆参观，无成人陪同不得进入博物馆。
3. 博物馆内提供语音导览服务，第一次5美元，之后每增加一处语音导览服务收取4美元。除了英语之外，还有西班牙语、意大利语、法语、日语、中文及德语。"
联合国总部,纽约,"405 E 42nd St, New York, NY 10017, USA",,+1-212-9638687,介绍->开放时间->必看贴士,"总部的土地为国际领土，由秘书处大楼、会议厅大楼、大会堂和哈马舍尔德图书馆四栋建筑组成。参观需提前预约，广场上雕塑寓意着和平心愿。可在纪念品商店购买明信片并盖上这里的邮戳。->全年 周一-周五 09:00-17:00；具体营业状态以当天开放情况为准->1. 总部内每天都安排有导游带领参观讲解，有中文导游，但一周只有一次，需提前在官网查询好中文导览时间。导游讲解的起点在大会公共前厅，并向游客解释有关组织的工作。
2. 部分议会场所可能会因会议停止参观，前往参观的游客需做好准备。
3. 进入总部参观，不得身着无袖衣服及短裤，任何液体不得入内，大包需要寄存。->1. 总部内每天都安排有导游带领参观讲解，有中文导游，但一周只有一次，需提前在官网查询好中文导览时间。导游讲解的起点在大会公共前厅，并向游客解释有关组织的工作。
2. 部分议会场所可能会因会议停止参观，前往参观的游客需做好准备。
3. 进入总部参观，不得身着无袖衣服及短裤，任何液体不得入内，大包需要寄存。"
自由女神上岛游船,纽约,Battery Park， New York， NY 10004,,+1-877-5239849,介绍->开放时间->优待政策->服务设施,"美国的自由女神像位于美国纽约州纽约市哈德逊河口附近，是美国重要的观光景点。对成千上万个来美国的移民来说，自由女神是摆脱旧世界的贫困和压迫的保证，自由女神像成了美国的象征。我们将把您带到自由女神像面前，让您有机会上岛从不能获得的绝佳角度与她合影，近距离与女神接触，感受自由女神的壮丽，您还能了解到女神不为人知的一面。了解1200多万移民通过""埃利斯岛移民博物馆""的大厅进入美国的情景。无论您是第一次还是第一百次来纽约市，乘船游览绝对是一次体验纽约市壮观天际线和航道的独特方式。->具体营业状态以当天开放情况为准->儿童：年龄：6周岁（含）~11周岁（含），儿童票
补充说明：12周岁（不含）以下儿童参观大都会艺术博物馆免费->讲解器租赁：部分游船线路提供讲解，具体情况以实际为准"
华尔街,纽约,"Wall St, New York, NY, USA",,+1-866-6485873,介绍->开放时间->必看贴士,"华尔街曾是美国各大金融机构的所在地，911后很多机构搬离此地，大部分改为住宅，不过这条摩天大楼林立的狭长小街依然是热门旅游地。


参观路线：
顺着华尔街门牌号一路向东步行，华尔街1号是纽约银行大楼（原欧文信托银行大楼）。11号是纽约证券交易所，14号是美国信孚银行大楼，而华尔街23号原先是摩根大通大楼，现在已改为了住所。
继续向东步行至华尔街37号，这里原先是美国信托公司、美国大通银行，而现在也改为出租的住宅。在向前的华尔街40号是川普大楼、曼哈顿信托银行。华尔街45号则是原先的多伦多道明银行，现在也改为住宅。
而华尔街48号，原先是纽约银行总部，现在成为了美国金融博物馆。华尔街60号则是德意志银行大楼/摩根大通大楼。华尔街63号原先是布朗兄弟哈里曼信托大楼，现在也改为了住宅。华尔街111号则是花旗银行大楼。->具体营业状态以当天开放情况为准->著华尔街铜牛原先被放置在纽约证券交易所前方，但由于每天都被游客围的水泄不通，现被移至华尔街附近的博灵格林（Bowling Green）公园内，从华尔街向南步行约10分钟。->著华尔街铜牛原先被放置在纽约证券交易所前方，但由于每天都被游客围的水泄不通，现被移至华尔街附近的博灵格林（Bowling Green）公园内，从华尔街向南步行约10分钟。"
帝国大厦观景台,纽约,"20 W 34th St., New York, NY 10001美国",今日09:00开放,+1 212-736-3100,介绍->开放时间->优待政策->服务设施,"86层观景台：室内及室外观景台，位于86层，距地面高度1,050英尺(320米)，可选八种语言包括普通话在内的语音导览器。这是纽约高的露天观景台。参观帝国大厦的86楼露天观景台，感受置身世界中心和世界之巅的快感。作为全世界的观景台，86楼观景台一直被作为众多电影和电视剧，以及不计其数的私人留影的背景。观景台以大厦的尖顶为中心，提供纽约和更广阔地区的360度全景。从这里您将欣赏到独特的中央公园、哈德逊河和东河、布鲁克林大桥、时代广场、自由女神像等景观。我们的多媒体手持式设备可从各个方向指导您的观景。还可利用我们的高性能双筒望远镜获得更清晰的视野。102层观景台室内观景台，位于102层，距地面高度1,250英尺(381米)。2016年，为提供游客详尽的展览解说和全方位的美景，带领游客领略这所建筑近百年的历史，帝国大厦观景台正式推出其全新的移动端导览APP，并且提供免费WIFI供游客下载。该导览器分为中英文两种版本，旨在让全世界的游客根据自己的语言需求进行下载以及获悉更多的内容介绍。中国游客可在AppleStore中直接搜索“帝国大厦”即可得到中文版本，安卓系统用户也可在境外通过GooglePlay下载，该导览器都可提供标准普通话的语音讲解服务。->全年 09:00-23:00；具体营业状态以当天开放情况为准->儿童：年龄：3周岁（含）~12周岁（含），儿童票->景区讲解：进入帝国大厦的每位游客将获得一台多媒体手持导游仪
卫生间：仅 86 楼设有公共洗手间。
残障通道：帝国大厦符合 ADA 规范， 在 86 层观景台设有残疾人专用的公共厕所，还设有较低的观景围墙和望远镜。 导盲犬可在大厦内通行。 机动和非机动轮椅均可出入。86楼设有坡道，可方便轮椅通行，而较低的观景围墙还可为坐轮椅的客人提供方便。 102楼的围墙在改进，以令所有游客都能观赏风景。
纪念品商店：在 80 楼礼品店和网上商店出售一系列帝国大厦纪念品，其中大多数为独家纪念品。"
纽约百老汇《阿拉丁》,纽约,"214 W 42nd St, New York, NY 10036美国",具体营业状态以当天开放情况为准,,介绍->开放时间->服务设施,新阿姆斯特丹剧院是由建筑师赫特福德郡和塔伦特设计的，是古老的百老汇剧院。阿拉丁的心爱的故事带来惊心动魄的戏剧生活在这个大胆的新的音乐。随着神灯一擦，阿拉丁的旅程席卷你进入一个充满异国情调的世界充满大胆的冒险，喜剧的经典和永恒的浪漫。这是一次难忘的经历，包括从荣获奥斯卡奖的得分全部珍视歌曲和百老汇更特别撰写。->以实际演出场次时间为准，详见官网；具体营业状态以当天开放情况为准->纪念品商店：剧院内设有纪念品商店，或可登录官网进行线上选购
第五大道,纽约,美国纽约,,,介绍->开放时间->必看贴士,"第五大道是曼哈顿较出名的一条南北向主街道，整条街涵盖了多处纽约必去的景点和百货商店，汇集了无数家全球专卖店、珠宝首饰、电子产品等应有尽有、很是奢华，每天都吸引着世界各地的游人前来。->具体营业状态以当天开放情况为准->1. 第五大道是纽约市民举办庆祝活动的途径路线，非常热闹，此时大道上是禁止汽车通行的。
2. 第五大道上游人如织，注意保管好贵重物品。->1. 第五大道是纽约市民举办庆祝活动的途径路线，非常热闹，此时大道上是禁止汽车通行的。
2. 第五大道上游人如织，注意保管好贵重物品。"
布鲁克林大桥,纽约,"Brooklyn Bridge, New York, NY 10038, USA",,+1-347-6470876,介绍->开放时间->必看贴士,"布鲁克林大桥是连接曼哈顿和布鲁克林知名的一座大桥，桥上设有步行和骑行专用道。漫步在大桥上，船只在桥下经过，高楼林立的曼哈顿尽在眼前。
布鲁克林方向大桥下是环境优美的公园，桥底的旋转木马也许会帮你找回童心，附近的DUMBO艺术区又能带你领略美国艺术家们的灵感与创意。走到曼哈顿地区，你可以前往唐人街或小意大利区品尝美味，或是沿街走到繁忙的华尔街附近摸一摸带来财运的铜牛。
这座大桥也是美国电影电视剧中经常出现的场景，如《破产姐妹》、《绯闻女孩》、《纽约黑帮》等剧。->全年 全天开放->1. 为了安全性，现已禁止在大桥上挂“爱情锁”，违规者将被处以100美元的罚款。
2. 大桥人行道中间有一条白线，由于人行道是行人与自行车者公用，所以行人走在白线右侧，自行车者靠左侧骑行。步行时请勿走到自行车道影响骑车的人。
3. 桥上人很多，切勿拥挤、吵闹，人多时也不要长时间停留在一处，避免影响其他行人或自行车通行。
4. 每年7月4日，可在此观看烟火。->1. 为了安全性，现已禁止在大桥上挂“爱情锁”，违规者将被处以100美元的罚款。
2. 大桥人行道中间有一条白线，由于人行道是行人与自行车者公用，所以行人走在白线右侧，自行车者靠左侧骑行。步行时请勿走到自行车道影响骑车的人。
3. 桥上人很多，切勿拥挤、吵闹，人多时也不要长时间停留在一处，避免影响其他行人或自行车通行。
4. 每年7月4日，可在此观看烟火。"
