names,places,imgs
Zanzibar Spices and Heritage C...,桑给巴尔,https://dimg04.c-ctrip.com/images/ww0g1f000001gpke0D00E_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww0b1f000001gr9hv745F_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww071f000001h5k21359B_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/ww041f000001gnuu14DF4_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww0r1f000001gnaqf0C87_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww0h1f000001gqg4s0F5C_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww0s1f000001gvr4j0F01_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww081f000001gp2hk75D3_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww071f000001h5k2605F6_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww0g1f000001gpke5FF71_R_228_10000.png
Big Body With Tatata Spice Far...,桑给巴尔,https://dimg04.c-ctrip.com/images/0ww5e12000acjfn6a7974_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/ww0u1f000001gp7bvA68E_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww0m1f000001gym6sA7F9_R_228_10000.png
3 Brothers Land & Sea Excursio...,桑给巴尔,https://dimg04.c-ctrip.com/images/0ww4512000a9qyg77842D_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww4d12000a9qz8bbC995_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww4a120008ymic85A0BA_R_228_10000.jpg
Chumbe Island Coral Park,桑给巴尔,https://dimg04.c-ctrip.com/images/0ww5112000b92lq8j83A0_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww4812000b92lpuyB9DF_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww6k12000b92lmix67F3_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww5y12000b92lle6A4C8_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww53120008yfgkk6F552_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww60120008yfgkkfA7CA_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww0i120008yiy0sg8BD2_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww50120008yiycrw1187_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww16120008yfgncpD23F_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww6v120008yfgnq411D3_R_228_10000.jpg
Dhow Countries Music Academy,桑给巴尔,https://dimg04.c-ctrip.com/images/ww0l1e000001eyl7y800A_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww0r1e000001ewuch60A7_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww091e000001f0tmx2D79_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww0t1e000001eygvdD6E4_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww0r1e000001ewuce324A_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww041e000001exeh35194_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww051e000001f0xbo4240_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww0o1e000001ex9el1DB3_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww0k1e000001f2lnw74F9_R_228_10000.png
Princess Salme Museum at Emers...,桑给巴尔,https://dimg04.c-ctrip.com/images/ww0s1f000001gv7a179B0_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww081f000001goimxE877_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww071f000001h507c03FE_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww0w1f000001gucw3CAEB_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww0i1f000001gn54iE1F8_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww0i1f000001gn54l3153_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww011f000001h18xe940C_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww0s1f000001gv79vB9B5_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww061f000001goxzr46F1_R_228_10000.png
村庄博物馆,桑给巴尔,https://dimg04.c-ctrip.com/images/100b0i0000009s4s63FEC_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/ww0v1e000001fsq1fBDB0_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww0x12000axzi3zlEF37_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww0w12000axzi3z10101_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww6x12000axzhqgcC298_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww4112000axzhto0F506_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww6312000ardhcbfD519_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/ww0s1e000001fre6vD577_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/ww0u1e000001f5xvg0CAF_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/ww0j1e000001f4o42188E_R_228_10000.jpg
Zanzibar Extreme Watersports,桑给巴尔,https://dimg04.c-ctrip.com/images/0ww44120008yh6203F802_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww3v120008yh60ap365D_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww2s120008yh5zsl57EB_R_228_10000.jpg
国家博物馆与文化厅,桑给巴尔,
Sea Cliff Golf Resort,桑给巴尔,https://dimg04.c-ctrip.com/images/0ww2212000arpg31v57DD_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww0d12000arpg9nk4935_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww0t12000arpg8vcCB4A_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww4r12000arpfsr934BC_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww0912000arpfpyq6E15_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/0ww4512000acjprweF7AF_R_228_10000.jpg->https://dimg04.c-ctrip.com/images/ww0k1f000001gwizoDF18_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww0o1f000001gr6pw94B9_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww0w1f000001gydot13C1_R_228_10000.png->https://dimg04.c-ctrip.com/images/ww091f000001guqxh4C5D_R_228_10000.png
