names,places,links,imgs,popularity,scores,addresses
老界岭旅游度假区,南阳,https://you.ctrip.com/sight/xixia2268/135269.html,https://dimg04.c-ctrip.com/images/0101z12000aqcy0fu08CF_C_220_140.jpg,5.9,4.5,河南省南阳市西峡县太平镇东坪村
南阳卧龙岗武侯祠,南阳,https://you.ctrip.com/sight/nanyang591/61343.html,https://dimg04.c-ctrip.com/images/100f1f000001gqb19AFBB_C_220_140.jpg,6.1,4.4,南阳市卧龙区车站路躬耕路交叉口
南阳府衙,南阳,https://you.ctrip.com/sight/nanyang591/61358.html,https://dimg04.c-ctrip.com/images/350l0x000000l7sfi3503_C_220_140.jpg,5.5,4.4,南阳市宛城区民主街100号
西峡恐龙遗迹园,南阳,https://you.ctrip.com/sight/xixia2268/61344.html,https://dimg04.c-ctrip.com/images/100q0q000000gedkeE75C_C_220_140.jpg,5.4,4.3,南阳市西峡县丹水镇三里庙村
赊店古城,南阳,https://you.ctrip.com/sight/sheqi1446082/1415886.html,https://dimg04.c-ctrip.com/images/100h1f000001grvrd85E8_C_220_140.jpg,5.5,4.5,南阳市社旗县永庆街9附近
南阳世界月季大观园,南阳,https://you.ctrip.com/sight/nanyang591/5715617.html,https://dimg04.c-ctrip.com/images/0103s120009kjq27b21FA_C_220_140.jpg,5.0,4.0,南阳市宛城区月季大道（原李高路）与东环路交叉口
花洲书院,南阳,https://you.ctrip.com/sight/dengzhou2269/135270.html,https://dimg07.c-ctrip.com/images/100h1f000001grwj3D091_C_220_140.jpg,5.0,4.7,南阳市邓州市人民东路
丹江风景名胜区,南阳,https://you.ctrip.com/sight/xichuan2307/61354.html,https://dimg04.c-ctrip.com/images/0102u120008s7kupc5E3D_C_220_140.jpg,4.9,4.6,河南省南阳市淅川县丹江马道
丹江大观苑,南阳,https://you.ctrip.com/sight/xichuan2307/70421.html,https://dimg04.c-ctrip.com/images/0104q120008yslbhm0B74_C_220_140.png,4.9,4.1,南阳市淅川县石桥村鲁家沟
南阳五朵山,南阳,https://you.ctrip.com/sight/nanzhao1446078/74798.html,https://dimg04.c-ctrip.com/images/0101j120008hoe9vq532D_C_220_140.jpg,4.7,4.1,河南省南阳市南召县五朵山
宝天曼峡谷漂流,南阳,https://you.ctrip.com/sight/neixiang2295/3138702.html,https://dimg04.c-ctrip.com/images/10080u000000j68enAB82_C_220_140.jpg,4.6,3.8,南阳市内乡县大龙村
内乡县衙,南阳,https://you.ctrip.com/sight/neixiang2295/61341.html,https://dimg04.c-ctrip.com/images/0106l12000ba3467tDB26_C_220_140.jpg,4.6,4.5,南阳市内乡县城东大街
七十二潭,南阳,https://you.ctrip.com/sight/fangcheng2275/138259.html,https://dimg04.c-ctrip.com/images/100m1f000001gzpnuBD7C_C_220_140.jpg,4.4,4.3,南阳市方城县杨集乡大河口村(239省道南200米)
荆紫关古镇,南阳,https://you.ctrip.com/sight/xichuan2307/1415882.html,https://dimg04.c-ctrip.com/images/100n1f000001gpbn08AD9_C_220_140.jpg,4.3,4.3,南阳市淅川县
七峰山生态旅游区,南阳,https://you.ctrip.com/sight/fangcheng2275/69630.html,https://dimg04.c-ctrip.com/images/0100m120008dgnhtiB51F_C_220_140.jpg,4.2,4.1,方城县杨集乡磨沟村
桐柏山淮源风景区,南阳,https://you.ctrip.com/sight/tongbai2281/9078.html,https://dimg04.c-ctrip.com/images/10031f000001gry6v8C0F_C_220_140.jpg,4.2,4.4,南阳市桐柏县城关镇淮源大道135号
八仙洞,南阳,https://you.ctrip.com/sight/xichuan2307/135271.html,https://dimg04.c-ctrip.com/images/0106x12000atnvnapFF6A_C_220_140.jpg,4.2,3.7,南阳市淅川县马蹬镇余沟村
南阳医圣祠,南阳,https://you.ctrip.com/sight/nanyang591/61346.html,https://dimg05.c-ctrip.com/images/0104s120008s79c05509E_C_220_140.jpg,4.1,4.3,南阳市宛城区医圣祠街7号(东关温凉河旁)
卧龙岗,南阳,https://you.ctrip.com/sight/nanyang591/135234.html,https://dimg05.c-ctrip.com/images/0103b120008dgng294A11_C_220_140.jpg,4.1,4.3,南阳市卧龙区卧龙路766号
